id,prediction,confidence,explanation
95,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
136,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
59,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
60,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
124,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
111,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
135,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
27,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
110,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
42,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
56,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
80,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
28,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
101,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
91,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
24,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
119,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
93,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
72,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
16,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
30,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
97,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
22,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
53,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
58,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
81,consistent,0.953,Identified 2 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
47,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
7,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
121,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
129,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
51,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
127,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
133,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
52,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
114,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
2,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
33,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
15,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
82,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
37,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
3,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
103,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
94,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
85,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
21,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
49,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
140,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
64,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
131,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
61,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
86,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
38,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
132,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
77,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
70,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
115,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
78,consistent,0.953,Identified 2 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
87,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
75,consistent,0.953,Identified 2 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
44,consistent,0.519,Identified 1 atomic claims. No explicit contradiction cues detected. Narrative appears semantically consistent.
